ID,x,y,Building,Level
294,0.532575,0.5168625,1,0
295,0.5640375,0.5382,1,0
296,0.5640375,0.5528125,1,0
297,0.5376375,0.54495,1,0
298,0.5146,0.546075,1,0
299,0.4971875,0.5528125,1,0
300,0.487075,0.5398875,1,0
301,0.496625,0.50955,1,0
302,0.4140375,0.3668625,1,0
303,0.401675,0.3325875,1,0
304,0.401675,0.3191125,1,0
305,0.41685,0.32585,1,0
306,0.429775,0.32585,1,0
307,0.4404375,0.357875,1,0
308,0.4511125,0.3281,1,0
309,0.4651625,0.3230375,1,0
310,0.4938125,0.320225,1,0
311,0.446625,0.2281,1,0
312,0.4747125,0.1904625,1,0
313,0.491,0.203375,1,0
314,0.4764,0.2134875,1,0
315,0.4831375,0.2393375,1,0
316,0.4685375,0.2561875,1,0
317,0.492125,0.2539375,1,0
318,0.4533625,0.2854,1,0
319,0.480325,0.2848375,1,0
320,0.496625,0.315775,1,0
321,0.5106625,0.288775,1,0
322,0.5191,0.3084375,1,0
323,0.523025,0.2972,1,0
324,0.5224625,0.286525,1,0
325,0.5235875,0.27585,1,0
326,0.5089875,0.2781,1,0
327,0.508425,0.2657375,1,0
328,0.517975,0.2432625,1,0
329,0.515725,0.2191125,1,0
330,0.50505,0.2134875,1,0
331,0.5162875,0.2106875,1,0
332,0.5292125,0.2134875,1,0
333,0.5162875,0.1848375,1,0
334,0.4887625,0.1618,1,0
335,0.5146,0.1516875,1,0
336,0.5101,0.117425,1,0
337,0.541,0.2157375,1,0
338,0.5365125,0.138775,1,0
339,0.5499875,0.098325,1,0
340,0.5353875,0.115175,1,0
341,0.5589875,0.1455125,1,0
342,0.5893125,0.13765,1,0
343,0.5702125,0.1455125,1,0
344,0.6162875,0.132025,1,0
345,0.59325,0.1017,1,0
346,0.61685,0.1146125,1,0
347,0.6320125,0.1191125,1,0
348,0.5769625,0.179225,1,0
349,0.5735875,0.2016875,1,0
350,0.6308875,0.17585,1,0
351,0.6286375,0.2118,1,0
352,0.6404375,0.2202375,1,0
353,0.6297625,0.2477625,1,0
354,0.6292,0.2825875,1,0
355,0.623025,0.30225,1,0
356,0.5999875,0.298325,1,0
357,0.5702125,0.2988875,1,0
358,0.5764,0.2775375,1,0
359,0.563475,0.2275375,1,0
360,0.591,0.22135,1,0
361,0.591,0.2528125,1,0
362,0.56235,0.260125,1,0
363,0.2756875,0.1537375,1,2
364,0.3031,0.1537375,1,2
365,0.3325,0.1537375,1,2
366,0.3614875,0.1537375,1,2
367,0.3904875,0.1537375,1,2
368,0.4191,0.161675,1,2
369,0.4191,0.1358625,1,2
370,0.25305,0.1827375,1,2
371,0.276875,0.2069625,1,2
372,0.313425,0.2077625,1,2
373,0.334875,0.183125,1,2
374,0.3547375,0.2220625,1,2
375,0.33965,0.198225,1,2
376,0.33965,0.212925,1,2
377,0.33965,0.227625,1,2
378,0.36745,0.19545,1,2
